Language	Glottocode	Exponence	Strategy	Fusion	VerbInflection	SyllableStructure	TonalSystem	Macroarea	Latitude	Longitude	GMC_W	GMC_A	WID	MTLD	TTR	H	IWI	LEX	MarkSize	MarkShape	MarkColor	DistColor	BibleFile
Fijian	fiji1243	MonoV	Lexical	Isolating	Mid High	Simple	No tones	Papunesia	-18	178.33	-0.771923076923077	7	0.807412835073579	31.7667932082231	0.0487574036758869	7.15431922012226	1.48725226212778	1.20082656543418	5	16	#0072B2	#CBDF6F	clean_fij-x-bible-1974.txt
Finnish	finn1318	Poly	Balanced	Concatenative	Low	Moderately complex	No tones	Eurasia	64.7628	25.5577	-0.542068965517241	4	1.4457686420293	231.03110979852	0.266837961950579	10.2723014627014	0.462423361032537	0.668557194722636	3	15	#E69F00	#ADEEEA	clean_fin-x-bible-1992.txt
French	stan1290	Poly	Balanced	Concatenative	Mid High	Complex	No tones	Eurasia	48	2	-0.526551724137931	6	1.03051085219966	77.0667610562008	0.139383548299108	8.93674487965278	0.919121336644454	0.947164511900367	5	15	#E69F00	#4CAE67	clean_fra-x-bible-perret.txt
Georgian	nucl1302	Poly	Morph	Concatenative	Mid High	Complex	No tones	Eurasia	41.850397	43.78613	-0.417407407407407	8	1.43509876275233	98.1231279459342	0.238767093553288	9.47097581946262	0.551315446717885	0.791192115471085	5	15	#E69F00	#DBC4EE	clean_kat-x-bible.txt
German	stan1295	Poly	Balanced	Concatenative	Low	Complex	No tones	Eurasia	48.649	12.4676	-0.552413793103448	2	1.06115079046625	116.922450754896	0.136465773212423	9.20194358570539	0.604093874359433	0.641034692292332	3	15	#E69F00	#9C3EA7	clean_deu-x-bible-neue.txt
Greek (Modern)	mode1248	Poly	Morph	Concatenative	Mid High	Complex	No tones	Eurasia	42.3224	24.8699	-0.498965517241379	5	1.18078314059919	84.1536367418554	0.181810063847837	9.15598433136199	0.751661398918044	0.887549107281629	5	15	#E69F00	#819E80	clean_ell-x-bible-modern2009.txt
Greenlandic (West)	kala1399	Poly	Morph	Concatenative	Mid High	Moderately complex	No tones	Eurasia	69.3761	-52.864	-0.374137931034483	5	2.43741935483871	1883.97061912414	0.542764976958525	11.6315701050855	0.285580251682638	0.696078832810972	5	15	#E69F00	#89ABD6	clean_kal-x-bible.txt
Guaraní	para1311	MonoV	Morph	Concatenative	Mid High	Simple	No tones	South America	-25.60551	-57.08816	-0.4508	5	1.33249357585529	97.6415482097474	0.174132110646445	9.2554988406206	0.757970868471325	1.0099913129235	5	16	#E69F00	#56A3EC	clean_gug-x-bible.txt
Hausa	haus1257	MonoV	Lexical	Isolating	Mid High	Moderately complex	Simple tone system	Africa	11.1513	8.7804	-0.712068965517241	7	1.07438553727402	56.085424428249	0.0981515336177128	8.39366486446525	0.926501722335101	0.995420050736302	5	16	#0072B2	#A19BE8	clean_hau-x-bible.txt
Hindi	hind1269	Poly	Morph	Concatenative	Low	Complex	No tones	Eurasia	25	77	-0.4588	2	0.988229139419304	76.0212629562535	0.093867942154628	8.60620912473743	1.04222948760777	1.02996154961605	3	15	#E69F00	#C387EC	clean_hin-x-bible-bsi.txt
Indonesian	indo1316	MonoV	Lexical	Isolating	Mid High	Complex	No tones	Papunesia	-7.33458	109.716	-0.770689655172414	4	1.09679827471798	81.6317941327786	0.115253815527538	8.91660690746435	0.998267859275234	1.09489846575949	5	16	#0072B2	#DD39DE	clean_ind-x-bible-suciinjil.txt
Jakaltek	popt1235	MonoV	Balanced	Concatenative	Mid High	Moderately complex	No tones	North America	15.6609	-91.6633	-0.566071428571429	5	0.852684185071739	50.7051959347559	0.109172980815734	8.39587339271463	1.18600282055178	1.01128584853498	5	16	#E69F00	#64E74C	clean_jac-x-bible.txt
Kewa	west2599	Poly	Morph	Concatenative	Mid High	Simple	Simple tone system	Papunesia	-6.32097	143.73	-0.442916666666667	6	0.938333806414987	92.9522937620478	0.113113823445927	9.05131491827806	1.22452591285524	1.14901406086324	5	15	#E69F00	#5EBFA5	clean_kew-x-bible.txt
Khalkha	halh1238	MonoVN	Balanced	Concatenative	Low	Complex	No tones	Eurasia	48.324	106.289	-0.585172413793103	3	1.3489415965315	217.883921283034	0.228819178780923	10.1609748851145	0.824374232235603	1.11203269297132	3	17	#E69F00	#E2D4CC	clean_khk-x-bible.txt
Khoekhoe	nama1264	MonoVN	Balanced	Other	Mid High	Moderately complex	Complex tone system	Africa	-25.0747	17.9767	-0.538461538461538	7	1.04786433156352	50.0824956908385	0.131389175053491	8.52169364629361	0.964570044295443	1.01073854471184	5	17	#999999	#A98CBA	clean_naq-x-bible.txt
Korean	kore1280	MonoVN	Balanced	Concatenative	Mid High	Moderately complex	No tones	Eurasia	37.5	128	-0.628518518518518	7	1.72917483980646	554.849922914774	0.348371910553158	11.0176875750116	0.692383700160236	1.19725247380918	5	17	#E69F00	#E2F1E9	clean_kor-x-bible-revised.txt
Lango	lang1324	Poly	Balanced	Other	Mid High	Moderately complex	Simple tone system	Africa	2.13867	33.0553	-0.573928571428571	6	1.13804974610552	77.0917034801752	0.112660297788106	8.75503004417259	0.91936373806663	1.04628166868535	5	15	#999999	#E66EDE	clean_laj-x-bible.txt
Malagasy	plat1254	MonoVN	Lexical	Concatenative	Mid High	Moderately complex	No tones	Africa	-19.5907	47.1211	-0.682142857142857	4	1.15308480488337	73.3091974288767	0.139699149771092	8.75679478373998	0.948993073873065	1.09426949342259	5	17	#E69F00	#63EDBF	clean_plt-x-bible-romancatholic.txt
Mapudungun	mapu1245	Poly	Balanced	Concatenative	Mid High	Moderately complex	No tones	South America	-38.7392	-71.277	-0.594444444444444	9	0.987306802060778	47.8014842714881	0.145785111625476	8.35517415582163	0.981430071013129	0.968972584858255	5	15	#E69F00	#66EB8A	clean_arn-x-bible.txt
Mixtec (Chalcatongo)	sanm1295	MonoV	Balanced	Concatenative	Mid High	Simple	Complex tone system	North America	17.0777	-97.5432	-0.65	5	1.02476072383462	62.8640381524615	0.131940946254892	8.72710253647459	1.179022475839	1.20821592575806	5	16	#E69F00	#8095A0	clean_mig-x-bible.txt
Oromo (Harar)	east2652	MonoVN	Balanced	Concatenative	Mid High	Moderately complex	Complex tone system	Africa	8.67428	41.4395	-0.531785714285714	6	1.18310741287523	197.157464946027	0.196931060707735	9.95909928328322	0.730209126266117	0.863915830234588	5	17	#E69F00	#47BACA	clean_hae-x-bible.txt
Persian	west2369	MonoVN	Morph	Concatenative	Mid High	Complex	No tones	Eurasia	28.6593	55.1586	-0.476666666666667	4	1.09226829671237	87.2575324675325	0.141665289938873	9.0808952784129	0.731892412812092	0.799422879118971	5	17	#E69F00	#6B64A2	clean_pes-x-bible-2007.txt
Quechua (Imbabura)	imba1240	MonoVN	Morph	Concatenative	Mid High	Moderately complex	No tones	South America	0.31776	-78.3729	-0.468571428571429	7	1.24387375946569	248.786996786166	0.249988241380932	10.4593786885877	1.06297339382986	1.32220471159515	5	17	#E69F00	#E66134	clean_qvi-x-bible.txt
Russian	russ1263	Poly	Balanced	Concatenative	Mid High	Complex	No tones	Eurasia	59	50	-0.548965517241379	5	1.28822641141799	176.010593237966	0.22475522431682	9.86378506722877	0.439564720422332	0.566258882375613	5	15	#E69F00	#DA6BAD	clean_rus-x-bible-kulakov.txt
Sango	sang1328	None	Lexical	Concatenative	Low	Simple	Simple tone system	Africa	6.78584	20.1702	-0.74	1	0.74301126626022	24.7888424325772	0.0248363442249881	6.69851971199917	1.53588442278434	1.14117942980234	3	1	#E69F00	#7ED6F5	clean_sag-x-bible.txt
Sanumá	sanu1240	MonoVN	Lexical	Concatenative	Mid High	Moderately complex	No tones	South America	1.31875	-67.6498	-0.798	5	0.461302307732561	24.8506187745153	0.050550332292557	7.39424046475949	1.9702954857088	0.908901854472517	5	17	#E69F00	#B5EE97	clean_xsu-x-bible.txt
Spanish	stan1288	Poly	Morph	Concatenative	Mid High	Moderately complex	No tones	Eurasia	40.4414	-1.11788	-0.474827586206897	5	1.07207718501703	67.5828037215596	0.133776552618777	8.71699310258744	0.860601987662813	0.92263175635361	5	15	#E69F00	#5CE7E7	clean_spa-x-bible-reinavaleracontemporanea.txt
Swahili	swah1253	MonoV	Morph	Concatenative	Mid High	Simple	No tones	Africa	-8.25605	37.624	-0.411428571428571	5	1.53630765655862	152.621990715751	0.233356570233531	9.9156308997916	0.737575733419735	1.13314324654458	5	16	#E69F00	#DD8293	clean_swh-x-bible-union1997.txt
Tagalog	taga1270	Poly	Balanced	Concatenative	Low	Moderately complex	No tones	Papunesia	14.06	121.747	-0.532	2	1.02045068683439	54.5254194993396	0.121392190152801	8.42065078409304	0.959998642824627	0.979631274430473	3	15	#E69F00	#CBD2E9	clean_tgl-x-bible-1996.txt
Thai	thai1261	MonoV	Lexical	Other	Low	Moderately complex	Complex tone system	Eurasia	14.192	100.671	-0.9	2	0.846542893725992	70.2657128761278	0.0633802816901408	8.39813712851174	1.28153204138078	1.08487184271306	3	16	#999999	#E8DF48	clean_tha-x-bible-standard2011.txt
Turkish	nucl1301	MonoVN	Morph	Concatenative	Mid High	Moderately complex	No tones	Eurasia	39.8667	32.8667	-0.335172413793103	7	1.50167508943274	392.597349933704	0.297882005564704	10.7976215384922	0.660977314738618	0.992573168223126	5	17	#E69F00	#E53B9F	clean_tur-x-bible-2009.txt
Vietnamese	viet1252	MonoV	Lexical	Isolating	Low	Moderately complex	Complex tone system	Eurasia	20.681188	105.774071	-0.919642857142857	0	1.01695827725437	92.8195417569845	0.0666025764276101	8.81170643698126	1.22021051618666	1.24090318442885	3	16	#0072B2	#CCA130	clean_vie-x-bible-2002.txt
Wichí	wich1264	MonoV	Balanced	Isolating	Low	Moderately complex	No tones	South America	-23.1633	-62.1757	-0.594615384615385	8	1.05337369553095	45.3300580084725	0.117422130168087	8.25832465680125	1.00593610086456	1.0596266280357	3	16	#0072B2	#B8EA41	clean_mzh-x-bible.txt
Yagua	yagu1244	MonoV	Morph	Concatenative	Mid High	Moderately complex	Simple tone system	South America	-3.42913	-72.2186	-0.432692307692308	10	1.2656010719755	153.243580196697	0.269381699846861	10.1723664899391	0.615880713670093	0.779459291429906	5	16	#E69F00	#A3EBBF	clean_yad-x-bible.txt
Yaqui	yaqu1251	Poly	Balanced	Concatenative	Mid High	Moderately complex	Simple tone system	North America	29.9446	-110.681	-0.54	5	0.815882026284939	86.7681794793225	0.14077250570741	9.14372598059134	1.1237638574941	0.916858733118066	5	15	#E69F00	#686BE1	clean_yaq-x-bible.txt
Yoruba	yoru1245	MonoVN	Lexical	Other	Mid High	Simple	Complex tone system	Africa	7.15345	3.67225	-0.867241379310345	5	0.93293822979504	47.1199054361393	0.0676262038310932	7.92057518872927	1.20999085060048	1.12884672222741	5	17	#999999	#A28274	clean_yor-x-bible-2010.txt
